Neliöt,Hinta,Kaupunginosa,Rakennusvuosi,Tyyppi
26.5,173400,santalahti,2022,Kerrostalo
52.5,251700,santalahti,2022,Kerrostalo
43.0,208900,santalahti,2022,Kerrostalo
31.5,179900,santalahti,2022,Kerrostalo
28.5,166400,santalahti,2022,Kerrostalo
27.5,164800,santalahti,2022,Kerrostalo
27.0,162900,santalahti,2022,Kerrostalo
27.0,165500,santalahti,2022,Kerrostalo
35.0,181500,santalahti,2022,Kerrostalo
49.5,227700,santalahti,2022,Kerrostalo
41.0,203900,santalahti,2022,Kerrostalo
41.5,204800,santalahti,2022,Kerrostalo
41.5,204800,santalahti,2022,Kerrostalo
73.5,279000,santalahti,2022,Kerrostalo
41.5,209900,santalahti,2022,Kerrostalo
41.5,204800,santalahti,2022,Kerrostalo
26.5,169800,santalahti,2022,Kerrostalo
43.0,203000,santalahti,2022,Kerrostalo
52.5,245900,santalahti,2022,Kerrostalo
31.5,176600,santalahti,2022,Kerrostalo
27.0,159700,santalahti,2022,Kerrostalo
27.0,162200,santalahti,2022,Kerrostalo
35.0,178800,santalahti,2022,Kerrostalo
41.5,199800,santalahti,2022,Kerrostalo
49.5,218900,santalahti,2022,Kerrostalo
41.0,198200,santalahti,2022,Kerrostalo
41.5,199800,santalahti,2022,Kerrostalo
41.5,199800,santalahti,2022,Kerrostalo
52.5,239800,santalahti,2022,Kerrostalo
41.5,199800,santalahti,2022,Kerrostalo
43.0,197000,santalahti,2022,Kerrostalo
26.5,166600,santalahti,2022,Kerrostalo
42.0,194000,santalahti,2022,Kerrostalo
28.5,164900,santalahti,2022,Kerrostalo
20.0,154700,santalahti,2022,Kerrostalo
31.5,172900,santalahti,2022,Kerrostalo
106.5,699500,keskusta,2016,Kerrostalo
64.5,123000,hervanta,1982,Kerrostalo
40.0,259900,keskusta,2022,Kerrostalo
37.0,255900,keskusta,2022,Kerrostalo
34.5,248900,keskusta,2022,Kerrostalo
55.5,123000,kaukajärvi,1972,Kerrostalo
67.5,383125,tampella,2022,Kerrostalo
53.5,199000,muotiala,2004,Kerrostalo
43.0,119500,viinikka,1920,Kerrostalo
52.0,148000,haapalinna,1985,Kerrostalo
69.5,228000,vuores,2013,Kerrostalo
46.5,179000,järvensivu,2007,Kerrostalo
82.0,179000,haukiluoma,1985,Rivitalo
56.5,60000,lielahti,1973,Kerrostalo
66.0,239000,vuores,2016,Kerrostalo
28.0,59000,nekala,1940,Kerrostalo
73.5,594100,tampere,2022,Kerrostalo
112.0,989200,tampere,2022,Kerrostalo
66.5,499900,tampere,2022,Kerrostalo
103.5,873100,tampere,2022,Kerrostalo
42.5,307800,tampere,2022,Kerrostalo
62.0,421600,tampere,2022,Kerrostalo
75.5,137000,hervanta,1983,Kerrostalo
57.0,220000,keskusta,1959,Kerrostalo
72.0,28256,rahola,2014,Kerrostalo
31.0,235000,keskusta,2018,Kerrostalo
57.5,344000,keskusta,2019,Kerrostalo
90.0,315000,vuores,2022,Paritalo
56.5,205000,vuores,2022,Rivitalo
56.5,204000,vuores,2022,Rivitalo
56.5,203000,vuores,2022,Rivitalo
71.0,253000,vuores,2022,Rivitalo
71.0,251000,vuores,2022,Rivitalo
71.0,252000,vuores,2022,Rivitalo
71.0,250000,vuores,2022,Rivitalo
71.0,257000,vuores,2022,Rivitalo
71.0,252000,vuores,2022,Rivitalo
70.0,99000,hervanta,1978,Kerrostalo
178.0,920000,pispala,2003,Kerrostalo
57.0,210000,härmälänranta,2017,Kerrostalo
41.0,132000,annala,2011,Kerrostalo
32.5,139600,niemenranta,2020,Kerrostalo
60.5,164000,hervanta,1989,Rivitalo
75.0,246960,haukiluoma,2022,Paritalo
90.0,289960,haukiluoma,2022,Erillistalo
90.0,287960,haukiluoma,2022,Erillistalo
79.0,249960,haukiluoma,2022,Paritalo
90.0,289960,haukiluoma,2022,Erillistalo
79.0,247960,haukiluoma,2022,Paritalo
75.0,243960,haukiluoma,2022,Paritalo
79.0,249960,haukiluoma,2022,Paritalo
79.0,249960,haukiluoma,2022,Paritalo
90.0,286960,haukiluoma,2022,Erillistalo
75.0,239960,haukiluoma,2022,Paritalo
75.0,243960,haukiluoma,2022,Paritalo
77.5,158000,haapalinna,1985,Kerrostalo
74.5,153000,hervanta,1985,Kerrostalo
53.0,114000,hervanta,1989,Kerrostalo
28.0,103900,annala,2015,Kerrostalo
43.0,265000,keskusta,2019,Kerrostalo
61.0,137000,pappila,1972,Kerrostalo
26.0,99400,atala,2015,Kerrostalo
74.5,144000,peltolammi,1991,Luhtitalo
48.0,161000,vuores,2016,Kerrostalo
67.0,22788,kalkku,2010,Kerrostalo
53.2,132000,koivistonkylä,1961,Kerrostalo
76.0,299000,keskusta,1956,Kerrostalo
82.0,376000,keskusta,1952,Kerrostalo
20.5,109500,tesoma,2018,Kerrostalo
35.0,179000,armonkallio,1912,Kerrostalo
61.0,195000,keskusta,1968,Kerrostalo
96.0,222000,hervanta,1979,Kerrostalo
57.0,123000,haapalinna,1995,Kerrostalo
21.0,127500,härmälänranta,2018,Kerrostalo
27.5,112000,annala,2016,Kerrostalo
76.5,385000,santalahti,2021,Kerrostalo
