Neliöt,Hinta,Kaupunginosa,Rakennusvuosi,Tyyppi
60.0,119000,olkahinen,1983,Rivitalo
78.0,160000,finninmäki,1983,Rivitalo
32.0,205180,kaleva,2022,Kerrostalo
32.0,202560,kaleva,2022,Kerrostalo
46.5,255310,kaleva,2022,Kerrostalo
35.5,227620,kaleva,2022,Kerrostalo
32.0,200230,kaleva,2022,Kerrostalo
32.0,197610,kaleva,2022,Kerrostalo
46.5,249480,kaleva,2022,Kerrostalo
62.5,282420,kaleva,2022,Kerrostalo
35.5,222090,kaleva,2022,Kerrostalo
62.5,276010,kaleva,2022,Kerrostalo
32.0,197610,kaleva,2022,Kerrostalo
22.0,151560,kaleva,2022,Kerrostalo
22.0,151560,kaleva,2022,Kerrostalo
32.0,194690,kaleva,2022,Kerrostalo
39.0,227040,kaleva,2022,Kerrostalo
31.5,191780,kaleva,2022,Kerrostalo
64.0,285620,kaleva,2022,Kerrostalo
62.5,272800,kaleva,2022,Kerrostalo
36.0,218880,kaleva,2022,Kerrostalo
25.0,172250,kaleva,2022,Kerrostalo
35.5,219170,kaleva,2022,Kerrostalo
32.0,194690,kaleva,2022,Kerrostalo
22.0,149230,kaleva,2022,Kerrostalo
32.0,192070,kaleva,2022,Kerrostalo
31.5,188860,kaleva,2022,Kerrostalo
39.0,224130,kaleva,2022,Kerrostalo
62.5,269300,kaleva,2022,Kerrostalo
36.0,215680,kaleva,2022,Kerrostalo
64.0,282130,kaleva,2022,Kerrostalo
25.0,169630,kaleva,2022,Kerrostalo
35.5,215970,kaleva,2022,Kerrostalo
32.0,191780,kaleva,2022,Kerrostalo
22.0,146600,kaleva,2022,Kerrostalo
32.0,189150,kaleva,2022,Kerrostalo
31.5,186240,kaleva,2022,Kerrostalo
39.0,221210,kaleva,2022,Kerrostalo
62.5,266100,kaleva,2022,Kerrostalo
36.0,212760,kaleva,2022,Kerrostalo
35.5,212760,kaleva,2022,Kerrostalo
32.0,189150,kaleva,2022,Kerrostalo
32.0,186240,kaleva,2022,Kerrostalo
31.5,183320,kaleva,2022,Kerrostalo
35.5,206640,kaleva,2022,Kerrostalo
62.0,259980,kaleva,2022,Kerrostalo
25.0,163800,kaleva,2022,Kerrostalo
35.5,209850,kaleva,2022,Kerrostalo
32.0,184200,kaleva,2022,Kerrostalo
22.0,140190,kaleva,2022,Kerrostalo
32.0,181580,kaleva,2022,Kerrostalo
31.5,178660,kaleva,2022,Kerrostalo
38.5,210140,kaleva,2022,Kerrostalo
62.0,253860,kaleva,2022,Kerrostalo
35.5,204310,kaleva,2022,Kerrostalo
25.0,159430,kaleva,2022,Kerrostalo
28.5,78000,hyhky,1927,Kerrostalo
33.0,152000,niemenranta,2014,Kerrostalo
40.5,176900,vuores,2021,Kerrostalo
43.0,172900,annala,2022,Kerrostalo
63.0,123000,kaukajärvi,1972,Kerrostalo
53.0,289000,keskusta,1940,Kerrostalo
25.5,106000,haukiluoma,2017,Kerrostalo
64.0,83000,kalkku,1975,Kerrostalo
25.0,157000,kaleva,2018,Kerrostalo
85.5,189000,janka,1991,Kerrostalo
34.0,89000,nekala,1941,Kerrostalo
27.5,128500,annala,2022,Kerrostalo
38.5,139000,multisilta,2020,Kerrostalo
58.0,195000,kaleva,1959,Kerrostalo
62.0,124800,kaukajärvi,1991,Kerrostalo
28.0,145000,armonkallio,1963,Kerrostalo
64.5,110000,hervanta,1984,Kerrostalo
70.0,69000,multisilta,1976,Kerrostalo
33.5,127000,vuores,2017,Kerrostalo
53.5,176000,vuores,2012,Kerrostalo
52.0,239000,keskusta,1962,Kerrostalo
47.0,109500,nekala,1962,Kerrostalo
63.0,434000,keskusta,2020,Kerrostalo
39.0,202900,hatanpää,2019,Kerrostalo
50.0,170000,vuores,2018,Kerrostalo
120.5,565000,amuri,1972,Kerrostalo
32.5,173600,hatanpää,2022,Kerrostalo
32.5,184300,hatanpää,2022,Kerrostalo
32.5,169900,hatanpää,2022,Kerrostalo
32.5,169900,hatanpää,2022,Kerrostalo
32.5,164900,hatanpää,2022,Kerrostalo
32.5,164900,hatanpää,2022,Kerrostalo
38.0,201400,hatanpää,2022,Kerrostalo
36.5,201300,hatanpää,2022,Kerrostalo
38.0,189800,hatanpää,2022,Kerrostalo
28.0,159700,hatanpää,2022,Kerrostalo
71.5,279500,härmälänranta,2021,Kerrostalo
67.5,234000,vuores,2014,Luhtitalo
80.5,268000,kaleva,1965,Kerrostalo
60.0,164000,vehmainen,1977,Rivitalo
45.5,189900,ristinarkku,2019,Kerrostalo
87.0,279000,pohtola,2013,Rivitalo
67.5,131500,peltolammi,1991,Kerrostalo
65.5,106000,kohmankaari,1967,Kerrostalo
58.0,152000,viinikka,1948,Kerrostalo
35.0,78000,haukiluoma,1983,Kerrostalo
59.0,89000,hervanta,1979,Kerrostalo
50.0,288000,keskusta,1963,Kerrostalo
83.5,348000,pispala,2000,Kerrostalo
107.0,419000,pyynikki,1921,Kerrostalo
56.5,317000,nalkala,1998,Kerrostalo
36.0,254000,keskusta,2016,Kerrostalo
81.0,359000,härmälänranta,2018,Kerrostalo
25.5,109000,haukiluoma,2017,Kerrostalo
45.0,319000,keskusta,2020,Kerrostalo
36.0,242000,rantatampella,2020,Kerrostalo
75.5,145000,lentävänniemi,1977,Kerrostalo
40.5,179100,niemenranta,2020,Kerrostalo
40.0,152880,onkiniemi,1954,Kerrostalo
60.5,124000,hervanta,1985,Kerrostalo
57.0,126505,irjala,1982,Kerrostalo
60.5,182000,haukiluoma,2017,Kerrostalo
70.0,339000,tammela,1961,Kerrostalo
66.0,115000,rahola,1966,Kerrostalo
76.0,240000,keskusta,1963,Kerrostalo
35.5,145000,särkänniemi,1974,Kerrostalo
69.5,329000,keskusta,1999,Kerrostalo
90.5,224000,korkinmäki,1994,Kerrostalo
36.0,239000,rantatampella,2020,Kerrostalo
